=========================================
SCOS 2.0 DEDUPLICATED PRODUCT CATALOG PREVIEW
=========================================
Source file: C:\Users\User\Downloads\SKU MRPs as of 19th May.xlsx
Total Unique Product Variants: 1178
=========================================

CATEGORY: Bedding
------------------------------------------------------------
  SKU: SC-EVGRFTDSHEET-D-72x48          | Line: bedshee      | ASIN: B0GQSS1QDN   | FK SKU: SC-FK-EVGRFTDSHEET-D-72x48 | FSN: None               | MRP: 1989.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-D-75x48          | Line: bedshee      | ASIN: B0GQSWH7CJ   | FK SKU: SC-FK-EVGRFTDSHEET-D-75x48 | FSN: None               | MRP: 1989.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-D-78x48          | Line: bedshee      | ASIN: B0GQSNJNVK   | FK SKU: SC-FK-EVGRFTDSHEET-D-78x48 | FSN: None               | MRP: 1989.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-K-72x72          | Line: bedshee      | ASIN: B0GQT25RYH   | FK SKU: SC-FK-EVGRFTDSHEET-S-72x36 | FSN: None               | MRP: 2489.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-K-75x72          | Line: bedshee      | ASIN: B0GQSQYPDV   | FK SKU: SC-FK-EVGRFTDSHEET-K-75x72 | FSN: None               | MRP: 2489.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-Q-72x60          | Line: bedshee      | ASIN: B0GQSSHHJQ   | FK SKU: SC-FK-EVGRFTDSHEET-Q-72x60 | FSN: None               | MRP: 2289.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-Q-75x60          | Line: bedshee      | ASIN: B0GQSVL6PW   | FK SKU: SC-FK-EVGRFTDSHEET-Q-75x60 | FSN: None               | MRP: 2289.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-Q-78x60          | Line: bedshee      | ASIN: B0GQT43VPL   | FK SKU: SC-FK-EVGRFTDSHEET-Q-78x60 | FSN: None               | MRP: 2289.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-S-72x36          | Line: bedshee      | ASIN: B0GQT3ZZFF   | FK SKU: SC-FK-EVGRFTDSHEET-S-72x36 | FSN: None               | MRP: 1589.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-S-75x36          | Line: bedshee      | ASIN: B0GQT8SDG8   | FK SKU: SC-FK-EVGRFTDSHEET-S-75x36 | FSN: None               | MRP: 1589.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-S-78x36          | Line: bedshee      | ASIN: B0GQT1ZXHB   | FK SKU: SC-FK-EVGRFTDSHEET-S-78x36 | FSN: None               | MRP: 1589.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRTFTDSHEET-K-78x72         | Line: bedshee      | ASIN: B0GQSZNJ69   | FK SKU: SC-FK-EVGRTFTDSHEET-K-78x72 | FSN: None               | MRP: 2489.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-F-SLSTPILWCS-C-52x20          | Line: bedshee      | ASIN: None         | FK SKU: SC-F-SLSTPILWCS-C-52x20  | FSN: None               | MRP: None     | Name: SoftTouch Sleep Pillow Case 52x20
  SKU: SC-MAZEMUSLN-S-85X59             | Line: bedshee      | ASIN: B09XLS3TTP   | FK SKU: SC-F-MAZEMUSLN-S-59x85   | FSN: BLAGDJ4FQAXDSYDD   | MRP: 2999.0   | Name: Muslin Throws
  SKU: SC-MBJRDVTCVR-D-90x100           | Line: bedshee      | ASIN: B0D1KQMQ3Y   | FK SKU: SC-F-MBJRDVTCVR-D-90x100 | FSN: None               | MRP: 2989.0   | Name: Duvet Cover
  SKU: SC-MBJRDVTCVR-S-90x60            | Line: bedshee      | ASIN: B0D1KR8LBY   | FK SKU: SC-F-MBJRDVTCVR-S-90x60  | FSN: None               | MRP: 2089.0   | Name: Duvet Cover
  SKU: SC-MBJRFTDSHEET-D-72x48          | Line: bedshee      | ASIN: B0CZLJSYJQ   | FK SKU: SC-F-MBJRFTDSHEET-D-72x48 | FSN: None               | MRP: 1889.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-MBJRFTDSHEET-K-72x72          | Line: bedshee      | ASIN: B0CTTR2MF6   | FK SKU: SC-F-MBJRFTDSHEET-K-72x72 | FSN: None               | MRP: 2189.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-MBJRFTDSHEET-K-75x72          | Line: bedshee      | ASIN: B0CZLKFR52   | FK SKU: SC-F-MBJRFTDSHEET-K-75x72 | FSN: None               | MRP: 2189.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-MBJRFTDSHEET-K-78x72          | Line: bedshee      | ASIN: B0CTTKFFPL   | FK SKU: SC-F-MBJRFTDSHEET-K-78x72 | FSN: BDSGYAGSM8ZZRQW6   | MRP: 2189.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-MBJRFTDSHEET-Q-72x60          | Line: bedshee      | ASIN: B0CTTLN7Y7   | FK SKU: SC-F-MBJRFTDSHEET-Q-72x60 | FSN: None               | MRP: 1989.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-MBJRFTDSHEET-Q-75x60          | Line: bedshee      | ASIN: B0CZLKX7TF   | FK SKU: SC-F-MBJRFTDSHEET-Q-75x60 | FSN: None               | MRP: 1989.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-MBJRFTDSHEET-Q-78x60          | Line: bedshee      | ASIN: B0CTTMM1S1   | FK SKU: SC-F-MBJRFTDSHEET-Q-78x60 | FSN: BDSGYFNXGQF4WKR2   | MRP: 1989.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-MBJRFTDSHEET-S-72x36          | Line: bedshee      | ASIN: B0CZLL57NF   | FK SKU: SC-F-MBJRFTDSHEET-S-72x36 | FSN: None               | MRP: 1389.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-NOVAMUSLN-S-85X59             | Line: bedshee      | ASIN: B09XLSN95V   | FK SKU: SC-F-NOVAMUSLN-S-59x85   | FSN: BLAGDJ42ZFCZWFTH   | MRP: 2999.0   | Name: Muslin Throws
  SKU: SC-OBCHDVTCOVER-D-90x100         | Line: bedshee      | ASIN: B0BZVR2WCP   | FK SKU: SC-OBCHDVTCOVER-D-90x100 | FSN: None               | MRP: 2989.0   | Name: Cotton Duvet cover
  SKU: SC-OBCHDVTCOVER-S-90x60          | Line: bedshee      | ASIN: B0CW9Q6SQ1   | FK SKU: SC-FK-OBCHDVTCOVER-S-90x60 | FSN: None               | MRP: 2089.0   | Name: Cotton Duvet cover
  SKU: SC-OBCHFTDSHEET-D-72x48          | Line: bedshee      | ASIN: B0CWCX6MYZ   | FK SKU: SC-F-OBCHFTDSHEET-D-72x48 | FSN: None               | MRP: 1889.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-OBCHFTDSHEET-K-78x72          | Line: bedshee      | ASIN: B0BX6PXMT9   | FK SKU: SC-OBCHFTDSHEET-K-78x72  | FSN: BDSGNBYHYAZV2XAX   | MRP: 2489.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-OBCHFTDSHEET-Q-75x60          | Line: bedshee      | ASIN: B0CWCVD3Z8   | FK SKU: SC-F-OBCHFTDSHEET-Q-75x60 | FSN: BDSGYGDBG6ZTVPXF   | MRP: 1989.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-OBCHFTDSHEET-Q-78x60          | Line: bedshee      | ASIN: B0BX6R58GZ   | FK SKU: SC-OBCHFTDSHEET-Q-78x60  | FSN: None               | MRP: 2489.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-OBCHFTDSHEET-S-72x36          | Line: bedshee      | ASIN: B0CWD1RQCT   | FK SKU: SC-F-OBCHFTDSHEET-S-72x36 | FSN: BDSGYGDCZPDZYVRU   | MRP: 1389.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-PNYLTHR-S-49X59               | Line: bedshee      | ASIN: B0B3S433D8   | FK SKU: SC-F-PNYLTHR-S-49X59     | FSN: None               | MRP: 2889.0   | Name: Knitted Throw
  SKU: SC-PRPNDVTCOVER-D-90x100         | Line: bedshee      | ASIN: B0C33B9K2X   | FK SKU: SC-PRPNDVTCOVER-D-90x100 | FSN: None               | MRP: 2789.0   | Name: Cotton Duvet cover
  SKU: SC-PRPNDVTCOVER-S-90x60          | Line: bedshee      | ASIN: B0CW9QFGB8   | FK SKU: SC-F-PRPNDVTCOVER-S-90x60 | FSN: None               | MRP: 2089.0   | Name: Cotton Duvet cover
  SKU: SC-PRPNFTDSHEET-D-72x48          | Line: bedshee      | ASIN: B0CWD3121X   | FK SKU: SC-F-PRPNFTDSHEET-D-72x48 | FSN: None               | MRP: 1889.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-PRPNFTDSHEET-K-78x72          | Line: bedshee      | ASIN: B0C2ZNYG6Y   | FK SKU: SC-PRPNFTDSHEET-K-78x72  | FSN: BDSGZTKCU4EVXBYZ   | MRP: 2189.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-PRPNFTDSHEET-Q-75x60          | Line: bedshee      | ASIN: B0CWCXX755   | FK SKU: SC-F-PRPNFTDSHEET-Q-75x60 | FSN: None               | MRP: 1989.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-PRPNFTDSHEET-Q-78x60          | Line: bedshee      | ASIN: B0C2ZN8YS5   | FK SKU: SC-PRPNFTDSHEET-Q-78x60  | FSN: None               | MRP: 1989.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-PRPNFTDSHEET-S-72x36          | Line: bedshee      | ASIN: B0CWD4B59K   | FK SKU: SC-F-PRPNFTDSHEET-S-72x36 | FSN: BDSGYGDBZZCCAW3X   | MRP: 1389.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-SLSTDVTCOVER-D-90x100         | Line: bedshee      | ASIN: B0C33D2QK2   | FK SKU: SC-SLSTDVTCOVER-D-90x100 | FSN: DCVGZUCFJ9NSHPBF   | MRP: 2989.0   | Name: Cotton Duvet cover
  SKU: SC-SLSTDVTCOVER-S-90x60          | Line: bedshee      | ASIN: B0CW9SHX3D   | FK SKU: SC-F-SLSTDVTCOVER-S-90x60 | FSN: DCVGYGC7BQSPAD78   | MRP: 2089.0   | Name: Cotton Duvet cover
  SKU: SC-SLSTFTDSHEET-D-72x48          | Line: bedshee      | ASIN: B0CWCXHXWW   | FK SKU: SC-F-SLSTFTDSHEET-D-72x48 | FSN: None               | MRP: 1889.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-SLSTFTDSHEET-K-78x72          | Line: bedshee      | ASIN: B0C2ZQVLPS   | FK SKU: SC-SLSTFTDSHEET-K-78x72  | FSN: BDSGZTKFGYUK4NQT   | MRP: 2489.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-SLSTFTDSHEET-Q-75x60          | Line: bedshee      | ASIN: B0CWCRHS4B   | FK SKU: SC-F-SLSTFTDSHEET-Q-75x60 | FSN: None               | MRP: 1989.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-SLSTFTDSHEET-Q-78x60          | Line: bedshee      | ASIN: B0C2ZPK3PK   | FK SKU: SC-SLSTFTDSHEET-Q-78x60  | FSN: BDSGZTKFTC9BGBS3   | MRP: 2289.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-SLSTFTDSHEET-S-72x36          | Line: bedshee      | ASIN: B0CWCYSCT4   | FK SKU: SC-F-SLSTFTDSHEET-S-72x36 | FSN: BDSGYGDBCG9GHZKF   | MRP: 1389.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-STDMDUVETCVR-D-90x100         | Line: bedshee      | ASIN: B0DDCHC3WZ   | FK SKU: SC-F-STDMDUVETCVR-D-90x100 | FSN: None               | MRP: 3599.0   | Name: Sateen Duvet Cover
  SKU: SC-STDMDUVETCVR-S-90x60          | Line: bedshee      | ASIN: B0DDCHY2FW   | FK SKU: SC-F-STDMDUVETCVR-S-90x60 | FSN: None               | MRP: 2699.0   | Name: Sateen Duvet Cover
  SKU: SC-STDMFTDSHEET-D-72x48          | Line: bedshee      | ASIN: B0DDCCKKJ9   | FK SKU: SC-F-STDMFTDSHEET-D-72x48 | FSN: None               | MRP: 2449.0   | Name: Sateen Fitted Sheets
  SKU: SC-STDMFTDSHEET-D-75x48          | Line: bedshee      | ASIN: B0DDCFPY75   | FK SKU: SC-F-STDMFTDSHEET-D-75x48 | FSN: None               | MRP: 2449.0   | Name: Sateen Fitted Sheets
  SKU: SC-STDMFTDSHEET-D-78x48          | Line: bedshee      | ASIN: B0DDCHGB74   | FK SKU: SC-F-STDMFTDSHEET-D-78x48 | FSN: None               | MRP: 2449.0   | Name: Sateen Fitted Sheets
  SKU: SC-STDMFTDSHEET-K-72x72          | Line: bedshee      | ASIN: B0DDCGMBBJ   | FK SKU: SC-F-STDMFTDSHEET-K-72x72 | FSN: None               | MRP: 2999.0   | Name: Sateen Fitted Sheets
  SKU: SC-STDMFTDSHEET-K-75x72          | Line: bedshee      | ASIN: B0DDCF85LC   | FK SKU: SC-F-STDMFTDSHEET-K-75x72 | FSN: None               | MRP: 2999.0   | Name: Sateen Fitted Sheets
  SKU: SC-STDMFTDSHEET-K-78x72          | Line: bedshee      | ASIN: B0DDCD56KV   | FK SKU: SC-F-STDMFTDSHEET-K-78x72 | FSN: None               | MRP: 2999.0   | Name: Sateen Fitted Sheets
  SKU: SC-STDMFTDSHEET-Q-72x60          | Line: bedshee      | ASIN: B0DDCGPGMC   | FK SKU: SC-F-STDMFTDSHEET-Q-72x60 | FSN: None               | MRP: 2649.0   | Name: Sateen Fitted Sheets
  SKU: SC-STDMFTDSHEET-Q-75x60          | Line: bedshee      | ASIN: B0DDCGB18J   | FK SKU: SC-F-STDMFTDSHEET-Q-75x60 | FSN: None               | MRP: 2649.0   | Name: Sateen Fitted Sheets
  SKU: SC-STDMFTDSHEET-Q-78x60          | Line: bedshee      | ASIN: B0DDCGMXH2   | FK SKU: SC-F-STDMFTDSHEET-Q-78x60 | FSN: None               | MRP: 2649.0   | Name: Sateen Fitted Sheets
  SKU: SC-STDMFTDSHEET-S-72x36          | Line: bedshee      | ASIN: B0DDCH8LKZ   | FK SKU: SC-F-STDMFTDSHEET-S-72x36 | FSN: None               | MRP: 1999.0   | Name: Sateen Fitted Sheets
  SKU: SC-STDMFTDSHEET-S-75x36          | Line: bedshee      | ASIN: B0DDCG955Z   | FK SKU: SC-F-STDMFTDSHEET-S-75x36 | FSN: None               | MRP: 1999.0   | Name: Sateen Fitted Sheets
  SKU: SC-STDMFTDSHEET-S-78x36          | Line: bedshee      | ASIN: B0DDCGQ6GX   | FK SKU: SC-F-STDMFTDSHEET-S-78x36 | FSN: None               | MRP: 1999.0   | Name: Sateen Fitted Sheets
  SKU: SC-STIVDUVETCVR-D-90x100         | Line: bedshee      | ASIN: B0DDCH9DJK   | FK SKU: SC-F-STIVDUVETCVR-D-90x100 | FSN: None               | MRP: 3599.0   | Name: Sateen Duvet Cover
